idx,smiles,pka
0,C#CC[NH+](C)[C@H](C)Cc1ccc(F)cc1,7.42
1,CC(=O)CC1CCCC[NH2+]1,9.5
2,CC(=O)CCC[NH+](C)C,9.1
3,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3.6
4,CC(=O)OCCCC[NH+](C)C,9.4
5,CC(=O)OCCC[NH+](C)C,9.0
6,CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)[NH+](C)CC[C@]314,7.96
7,CC(C(=O)[O-])N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,3.73
8,CC(C)(C)[NH2+]CC(O)COc1ccccc1C1CCCC1,9.92
9,CC(C)(C)[NH2+]CC(O)COc1nsnc1N1CCOCC1,8.8
10,CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1,4.44
11,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,4.31
12,CC(Cc1ccc(C(C)(C)C)cc1)C[NH+]1CC(C)OC(C)C1,7.34
13,CC/C(=C(/c1ccccc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1,8.48
14,CC1(C)CC(=O)CC(C)(C)[NH2+]1,7.9
15,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)[O-])C(C)(C)CCC1,5.15
16,CC1=CC[NH+]2CCC[C@@H]12,10.55
18,CC1CC[NH+]2CCCC12,11.4
19,CC1CCc2cc(F)cc3c(=O)c(C(=O)[O-])cn1c23,6.325
20,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C[NH+](C)C,09.06
21,CCC1OC(=O)CC(O)C(C)C(CC=O)(OC2OC(C)CC([NH+](C)C)C2O)CC(C)C(=O)/C=C\C(C)=C/C1C,8.83
22,CCC1OC(=O)CC(O)CC(OC2OC(C)CC([NH+](C)C)C2O)C(CC=O)CC(C)C(=O)/C=C\C2OC2C1C,8.79
23,CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1,9.52
24,CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3.56
25,CCCCC1CC[NH+](CCCC(=O)c2ccccc2C)CC1,7.85
26,CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3.6
27,CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3.65
