dataset_id,smiles_protonated,smiles_deprotonated,pKa,reaction_center_atom_idx,reaction_center_atom_symbol,reaction_center_charge_protonated,reaction_center_charge_deprotonated,reaction_center_Hs_protonated,reaction_center_Hs_deprotonated,reaction_center_hybridization,reaction_center_is_aromatic,reaction_center_is_in_ring,reaction_center_total_valence,internal_id_protonated,internal_id_deprotonated
mol0,Brc1c(N2CCCCCC2)nc(C2CC2)[nH+]c1NC1CC1,Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,"6,210",10,N,1,0,1,0,SP2,TRUE,TRUE,4,1,2
mol1,Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,"7,460",9,N,1,0,1,0,SP2,FALSE,TRUE,4,3,4
mol2,Brc1cc2cccnc2c2[nH+]cccc12,Brc1cc2cccnc2c2ncccc12,"4,200",9,N,1,0,1,0,SP2,TRUE,TRUE,4,5,6
mol3,Brc1ccc(-c2nn[nH]n2)cc1,Brc1ccc(-c2nn[n-]n2)cc1,"3,730",8,N,0,-1,1,0,SP2,TRUE,TRUE,3,7,8
mol4,Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,"11,000",13,N,1,0,1,0,SP2,FALSE,TRUE,4,9,10
mol5,Brc1ccc(C2[NH2+]CCS2)cc1,Brc1ccc(C2NCCS2)cc1,"5,050",7,N,1,0,2,1,SP3,FALSE,TRUE,4,12,11
mol6,Brc1ccc(Cc2c3ccccc3[nH+]c3ccccc23)cc1,Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,"7,000",13,N,1,0,1,0,SP2,TRUE,TRUE,4,13,14
mol7,Brc1ccc(Cc2nn[nH]n2)cc1,Brc1ccc(Cc2nn[n-]n2)cc1,"4,620",9,N,0,-1,1,0,SP2,TRUE,TRUE,3,15,16
mol8,Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,"11,200",14,N,1,0,1,0,SP2,FALSE,TRUE,4,17,18
mol9,Brc1ccc(N2CCc3ccccc3C2)[nH+]c1,Brc1ccc(N2CCc3ccccc3C2)nc1,"3,000",15,N,1,0,1,0,SP2,TRUE,TRUE,4,19,20
mol10,Brc1ccc(NC2=[NH+]CCN2)cc1,Brc1ccc(NC2=NCCN2)cc1,"9,650",8,N,1,0,1,0,SP2,FALSE,TRUE,4,21,22
mol11,Brc1ccc(Nc2c3ccccc3[nH+]c3ccccc23)cc1,Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,"7,000",13,N,1,0,1,0,SP2,TRUE,TRUE,4,23,24
mol12,Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,Brc1ccc2nc3c(c(N4CCOCC4)c2c1)CCC3,"6,380",10,N,1,0,1,0,SP2,TRUE,TRUE,4,26,25
mol13,Brc1ccc2c(c1)CC[NH2+]2,Brc1ccc2c(c1)CCN2,"3,700",9,N,1,0,2,1,SP3,FALSE,TRUE,4,27,28
mol14,Brc1ccc2c(c1)c1c3n2CC[NH+](Cc2ccccc2)C3CCC1,Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,"6,950",7,N,1,0,1,0,SP3,FALSE,TRUE,4,30,29
mol15,Brc1cccc(-c2nn[nH]n2)c1,Brc1cccc(-c2nn[n-]n2)c1,"3,820",9,N,0,-1,1,0,SP2,TRUE,TRUE,3,31,32
mol16,Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,"11,200",14,N,1,0,1,0,SP2,FALSE,TRUE,4,33,34
mol17,Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCCC1,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,"11,300",15,N,1,0,1,0,SP2,FALSE,TRUE,4,35,36
mol18,Brc1cccc(Br)c1N(CC1CC1)C1=[NH+]CCN1,Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,"10,880",13,N,1,0,1,0,SP2,FALSE,TRUE,4,37,38
mol19,Brc1cccc(Br)c1N(CC1CCC1)C1=[NH+]CCN1,Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,"10,900",14,N,1,0,1,0,SP2,FALSE,TRUE,4,39,40
mol20,Brc1cccc(Br)c1N(CC1CCCC1)C1=[NH+]CCN1,Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,"10,900",15,N,1,0,1,0,SP2,FALSE,TRUE,4,41,42
mol21,Brc1cccc(Br)c1N(CC1CCCCC1)C1=[NH+]CCN1,Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,"11,200",16,N,1,0,1,0,SP2,FALSE,TRUE,4,43,44
mol22,Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,"10,400",17,N,1,0,1,0,SP2,FALSE,TRUE,4,45,46
mol23,Brc1cccc(Br)c1N(Cc1ccco1)C1=[NH+]CCN1,Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,"10,500",15,N,1,0,1,0,SP2,FALSE,TRUE,4,47,48
mol24,Brc1cccc(Br)c1N(Cc1cccs1)C1=[NH+]CCN1,Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,"10,510",15,N,1,0,1,0,SP2,FALSE,TRUE,4,49,50
mol25,Brc1cccc(Br)c1NC1=[NH+]CCN1,Brc1cccc(Br)c1NC1=NCCN1,"7,850",9,N,1,0,1,0,SP2,FALSE,TRUE,4,51,52
mol26,Brc1cccc(N(CC2CC2)C2=[NH+]CCN2)c1Br,Brc1cccc(N(CC2CC2)C2=NCCN2)c1Br,"11,100",14,N,1,0,1,0,SP2,FALSE,TRUE,4,53,54
mol27,Brc1cccc(N2CCc3ccccc3C2)[nH+]1,Brc1cccc(N2CCc3ccccc3C2)n1,"2,000",15,N,1,0,1,0,SP2,TRUE,TRUE,4,55,56
mol28,Brc1ccccc1-c1nn[nH]n1,Brc1ccccc1-c1nn[n-]n1,"3,830",8,N,0,-1,1,0,SP2,TRUE,TRUE,3,57,58
mol29,Brc1ccccc1N(CC1CC1)C1=[NH+]CCN1,Brc1ccccc1N(CC1CC1)C1=NCCN1,"11,200",12,N,1,0,1,0,SP2,FALSE,TRUE,4,59,60
mol30,Brc1ccccc1Nc1c2ccccc2[nH+]c2ccccc12,Brc1ccccc1Nc1c2ccccc2nc2ccccc12,"6,410",13,N,1,0,1,0,SP2,TRUE,TRUE,4,61,62
mol31,Brc1ccc[nH+]c1,Brc1cccnc1,"2,940",4,N,1,0,1,0,SP2,TRUE,TRUE,4,63,64
mol32,Brc1ccnc2c1ccc1ccc[nH+]c12,Brc1ccnc2c1ccc1cccnc12,"4,030",12,N,1,0,1,0,SP2,TRUE,TRUE,4,65,66
mol33,Brc1cnc2c(ccc3cc(Br)c[nH+]c32)c1,Brc1cnc2c(ccc3cc(Br)cnc32)c1,"3,900",13,N,1,0,1,0,SP2,TRUE,TRUE,4,67,68
mol34,Brc1c[nH+]cc2ccccc12,Brc1cncc2ccccc12,"3,540",7,N,1,0,1,0,SP2,TRUE,TRUE,4,69,70
mol35,Brc1nn[nH]n1,Brc1nn[n-]n1,"2,130",2,N,0,-1,1,0,SP2,TRUE,TRUE,3,71,72
mol36,C#CC#CC#CCC(O)CCC(=O)O,C#CC#CC#CCC(O)CCC(=O)[O-],"4,750",12,O,0,-1,1,0,SP2,FALSE,FALSE,2,73,74
mol37,C#CC(C)(C(C)C)[NH+](C)C(C)C,C#CC(C)(C(C)C)N(C)C(C)C,"8,700",7,N,1,0,1,0,SP3,FALSE,FALSE,4,75,76
mol38,C#CC(C)(C)[NH2+]c1ccccc1,C#CC(C)(C)Nc1ccccc1,"4,260",5,N,1,0,2,1,SP3,FALSE,FALSE,4,77,78
mol39,C#CC(C)(C)[NH+](C)C(C)(C)C,C#CC(C)(C)N(C)C(C)(C)C,"9,300",4,N,1,0,1,0,SP3,FALSE,FALSE,4,79,80
mol40,C#CC(C)(C)[NH+](C)C(C)(C)C#C,C#CC(C)(C)N(C)C(C)(C)C#C,"6,650",5,N,1,0,1,0,SP3,FALSE,FALSE,4,82,81
mol41,C#CC(C)(C)[NH+](C)C(C)C,C#CC(C)(C)N(C)C(C)C,"8,700",3,N,1,0,1,0,SP3,FALSE,FALSE,4,83,84
mol42,C#CC(C)(C)[NH+](CC)C(C)(C)C,C#CC(C)(C)N(CC)C(C)(C)C,"9,600",2,N,1,0,1,0,SP3,FALSE,FALSE,4,85,86
mol43,C#CC(C)(C)[NH2+]C(C)(C)C#C,C#CC(C)(C)NC(C)(C)C#C,"6,450",5,N,1,0,2,1,SP3,FALSE,FALSE,4,88,87
mol44,C#CC(C)(C)[NH2+]C(C)(C)C=C,C#CC(C)(C)NC(C)(C)C=C,"8,200",5,N,1,0,2,1,SP3,FALSE,FALSE,4,89,90
mol45,C#CC(C)(C)[NH2+]C(C)(C)CC,C#CC(C)(C)NC(C)(C)CC,"9,000",5,N,1,0,2,1,SP3,FALSE,FALSE,4,91,92
mol46,C#CC(C)[NH2+]c1ccccc1,C#CC(C)Nc1ccccc1,"3,250",4,N,1,0,2,1,SP3,FALSE,FALSE,4,93,94
